Boro-Block-Lot;CondoSection;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;GrossSqFt;EstimatedGrossIncome;GrossIncomePerSqFt;EstimatedExpense;ExpensePerSqFt;NetOperatingIncome;FullMarketValue;MarketValuePerSqFt
1-00277-7503;0884-R1;95 MADISON STREET;CHINATOWN;R2-CONDOMINIUM;20;1900;11358;227841;20.06;104494;9.2;123347;882000;77.65
1-00283-7502;0607-R1;135 DIVISION STREET;LOWER EAST SIDE;R4-CONDOMINIUM;28;1988;19924;550899;27.65;215179;10.8;335720;2419000;121.41
1-00284-7501;0163-R1;155 HENRY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;24;1907;21645;570346;26.35;241342;11.15;329004;2379998;109.96
1-00284-7502;0279-R1;165 HENRY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;30;1928;21223;547978;25.82;227086;10.7;320892;2324996;109.55
1-00284-7503;1575-R1;173 EAST BROADWAY;LOWER EAST SIDE;R4-CONDOMINIUM;29;1912;43723;1253976;28.68;546538;12.5;707438;5313001;121.52
1-00292-7501;0734-R1;1 ELDRIDGE STREET;CHINATOWN;R4-CONDOMINIUM;8;1988;4227;115186;27.25;45229;10.7;69957;505001;119.47
1-00293-7501;1877-R1;18 ELDRIDGE STREET;CHINATOWN;R4-CONDOMINIUM;10;2007;7169;275003;38.36;91907;12.82;183096;1386004;193.33
1-00297-7501;0367-R1;26 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;1900;6791;147229;21.68;54328;8;92901;673204;99.13
1-00297-7502;0709-R1;48 HESTER STREET;LOWER EAST SIDE;R4-CONDOMINIUM;35;1990;23604;724879;30.71;266725;11.3;458154;3423996;145.06
1-00297-7503;1312-R1;7 ESSEX STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;2002;31406;1142550;36.38;402625;12.82;739925;5454002;173.66
1-00298-7501;0583-R1;51 CANAL STREET;LOWER EAST SIDE;R4-CONDOMINIUM;41;1941;25795;750892;29.11;279618;10.84;471274;3536997;137.12
1-00298-7502;1082-R1;18 ORCHARD STREET;LOWER EAST SIDE;R4-CONDOMINIUM;4;1920;7535;217234;28.83;56136;7.45;161098;1144001;151.82
1-00298-7503;2020-R1;21 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;23;1910;17899;499919;27.93;192951;10.78;306968;2009999;112.3
1-00303-7501;1483-R1;87 BOWERY;CHINATOWN;R4-CONDOMINIUM;8;1910;8188;226398;27.65;84255;10.29;142143;1026001;125.31
1-00309-7501;1425-R1;48 ORCHARD STREET;LOWER EAST SIDE;R4-CONDOMINIUM;25;2003;39027;1303502;33.4;491350;12.59;812152;6041000;154.79
1-00310-7503;2116-R1;55 HESTER STREET;LOWER EAST SIDE;R4-CONDOMINIUM;27;1940;23344;959205;41.09;299270;12.82;659935;4984001;213.5
1-00343-7501;1954-R1;78 RIDGE STREET;LOWER EAST SIDE;R4-CONDOMINIUM;53;1930;56354;2294171;40.71;521275;9.25;1772896;13391995;237.64
1-00345-7501;1569-R1;154 ATTORNEY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;41;2004;39643;1528634;38.56;461841;11.65;1066793;7689010;193.96
1-00345-7502;2145-R1;196 STANTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;6;1950;44742;1588341;35.5;412969;9.23;1175372;17869000;399.38
1-00349-7501;1107-R1;130 SUFFOLK STREET;LOWER EAST SIDE;R2-CONDOMINIUM;48;1930;61673;2344807;38.02;824568;13.37;1520239;11507016;186.58
1-00350-7501;1096-R1;20 CLINTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;38;1930;32476;1175956;36.21;492661;15.17;683295;5039003;155.16
1-00353-7501;1647-R1;103 NORFOLK STREET;LOWER EAST SIDE;R4-CONDOMINIUM;31;2005;47873;1609012;33.61;440432;9.2;1168580;8636002;180.39
1-00354-7501;1351-R1;133 NORFOLK STREET;LOWER EAST SIDE;R2-CONDOMINIUM;2;1900;2787;105627;37.9;43644;15.66;61983;427000;153.21
1-00375-7501;1213-R1;71 AVENUE D;ALPHABET CITY;R4-CONDOMINIUM;25;2001;27798;792799;28.52;309114;11.12;483685;3212028;115.55
1-00384-7503;1720-R1;310 EAST HOUSTON STREET;ALPHABET CITY;R4-CONDOMINIUM;23;2005;34734;1202838;34.63;414029;11.92;788809;5840002;168.14
1-00384-7505;2176-R1;229 EAST 2 STREET;ALPHABET CITY;R4-CONDOMINIUM;5;2008;7405;263988;35.65;60647;8.19;203341;1501999;202.84
1-00385-7501;1618-R1;254 EAST 2 STREET;ALPHABET CITY;R4-CONDOMINIUM;47;2005;36472;1454868;39.89;319859;8.77;1135009;8579000;235.22
1-00386-7501;0548-R1;211 EAST 3 STREET;ALPHABET CITY;R2-CONDOMINIUM;13;1920;18990;518047;27.28;206991;10.9;311056;2244001;118.17
1-00389-7501;0545-R1;97 AVENUE B;ALPHABET CITY;R9-CONDOMINIUM;30;1901;20940;587576;28.06;264682;12.64;322894;2324000;110.98
1-00390-7501;1183-R1;217 EAST 7 STREET;ALPHABET CITY;R4-CONDOMINIUM;16;2000;15704;541631;34.49;210120;13.38;331511;2455000;156.33
1-00390-7502;1125-R1;338 EAST 8 STREET;ALPHABET CITY;R9-CONDOMINIUM;78;2001;65832;2518732;38.26;789984;12;1728748;13083000;198.73
1-00392-7501;0341-R1;143 AVENUE B;ALPHABET CITY;R4-CONDOMINIUM;83;1928;78982;2138833;27.08;853006;10.8;1285827;9281001;117.51
1-00392-7502;1859-R1;631 EAST 9 STREET;ALPHABET CITY;R4-CONDOMINIUM;12;2005;11603;469341;40.45;149679;12.9;319662;2415000;208.14
1-00393-7501;1138-R1;642 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;35;1999;36046;1178344;32.69;429668;11.92;748676;5568999;154.5
1-00394-7502;1113-R1;613 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;12;2001;15957;507433;31.8;178718;11.2;328715;2451000;153.6
1-00394-7503;1124-R1;625 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;12;2001;11495;365541;31.8;128744;11.2;236797;1765999;153.63
1-00396-7501;2105-R1;215 AVENUE B;ALPHABET CITY;R4-CONDOMINIUM;17;2008;19333;782020;40.45;257129;13.3;524891;3543001;183.26
1-00397-7501;0489-R1;175 EAST 2 STREET;ALPHABET CITY;R4-CONDOMINIUM;21;1920;20038;541026;27;214607;10.71;326419;2355999;117.58
1-00397-7502;0628-R1;240 EAST HOUSTON STREET;ALPHABET CITY;R4-CONDOMINIUM;16;1920;19854;534271;26.91;224350;11.3;309921;2238999;112.77
1-00397-7502;0628-R2;240 EAST HOUSTON STREET;ALPHABET CITY;R4-CONDOMINIUM;1;1920;1996;64870;32.5;23772;11.91;41098;306000;153.31
1-00398-7501;0394-R1;182 EAST 2 STREET;ALPHABET CITY;R2-CONDOMINIUM;41;1987;35664;1068493;29.96;410136;11.5;658357;4675012;131.08
1-00399-7501;0602-R1;50 AVENUE A;ALPHABET CITY;R9-CONDOMINIUM;17;1920;21314;570576;26.77;213140;10;357436;2584000;121.23
1-00405-7503;1104-R1;511 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;12;1999;14376;457876;31.85;155405;10.81;302471;2256000;156.93
1-00405-7504;1447-R1;525 EAST 11 STREET;ALPHABET CITY;R4-CONDOMINIUM;26;1965;29906;989590;33.09;308331;10.31;681259;5064002;169.33
1-00406-7501;0852-R1;212 AVENUE B;ALPHABET CITY;R2-CONDOMINIUM;24;1900;15021;379731;25.28;162227;10.8;217504;1578999;105.12
1-00407-7501;0338-R1;214 AVENUE A;ALPHABET CITY;R2-CONDOMINIUM;18;1920;11033;268102;24.3;118053;10.7;150049;907499;82.25
1-00407-7502;1081-R1;503 EAST 13 STREET;ALPHABET CITY;R2-CONDOMINIUM;18;1999;19119;528449;27.64;172071;9;356378;2568002;134.32
1-00408-7501;1881-R1;71 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;13;1900;31205;1107778;35.5;288022;9.23;819756;6058998;194.17
1-00411-7501;0754-R1;112 RIVINGTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;6;1900;3800;112936;29.72;34500;9.08;78436;588000;154.74
1-00411-7502;1426-R1;157 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;1900;11517;408854;35.5;106302;9.23;302552;2100000;182.34
1-00411-7503;1576-R1;133 ESSEX STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;1900;14130;506702;35.86;172386;12.2;334316;2466995;174.59
1-00411-7504;2126-R1;153 ESSEX STREET;LOWER EAST SIDE;R4-CONDOMINIUM;17;1920;18201;680717;37.4;254450;13.98;426267;3137000;172.35
1-00413-7501;0558-R1;75 ALLEN STREET;LOWER EAST SIDE;R2-CONDOMINIUM;18;1900;7994;307050;38.41;124866;15.62;182184;1378996;172.5
1-00413-7502;0908-R1;77 ALLEN STREET;LOWER EAST SIDE;R4-CONDOMINIUM;9;1920;5597;212798;38.02;74832;13.37;137966;951001;169.91
1-00414-7501;0728-R1;101 ALLEN STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;1900;5130;187655;36.58;59867;11.67;127788;942000;183.63
1-00416-7502;1494-R1;62 RIVINGTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;12;2003;8664;351152;40.53;89326;10.31;261826;1978002;228.3
1-00418-7501;1290-R1;113 ELDRIDGE STREET;LOWER EAST SIDE;R4-CONDOMINIUM;12;2002;7042;310130;44.04;76406;10.85;233724;1760000;249.93
1-00419-7501;0824-R1;302 BROOME STREET;LOWER EAST SIDE;R4-CONDOMINIUM;8;1990;7841;279532;35.65;64218;8.19;215314;1493998;190.54
1-00420-7501;2147-R1;40 DELANCEY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;55;2005;58364;2052662;35.17;594146;10.18;1458516;10796996;184.99
1-00421-7502;0758-R1;36 RIVINGTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;1988;13319;500661;37.59;137985;10.36;362676;2665999;200.17
1-00422-7501;0397-R1;241 ELDRIDGE STREET;LOWER EAST SIDE;R2-CONDOMINIUM;10;1900;12777;399792;31.29;195744;15.32;204048;1426004;111.61
1-00425-7501;1408-R1;195 BOWERY;LOWER EAST SIDE;R4-CONDOMINIUM;16;1900;26783;941958;35.17;272651;10.18;669307;4917002;183.59
1-00425-7502;1553-R1;199 BOWERY;LOWER EAST SIDE;R4-CONDOMINIUM;63;2000;56479;2416736;42.79;642731;11.38;1774005;13380994;236.92
1-00432-7501;0714-R1;85 AVENUE A;EAST VILLAGE;R4-CONDOMINIUM;32;1991;23605;879758;37.27;218818;9.27;660940;4862000;205.97
1-00434-7501;0642-R1;103 AVENUE A;EAST VILLAGE;R4-CONDOMINIUM;20;1920;11229;402110;35.81;143619;12.79;258491;1909000;170.01
1-00434-7504;1526-R1;107 AVENUE A;EAST VILLAGE;R4-CONDOMINIUM;10;1920;10461;370424;35.41;108899;10.41;261525;1815001;173.5
1-00437-7502;1947-R1;266 EAST 10 STREET;EAST VILLAGE;R4-CONDOMINIUM;10;2007;6166;311445;50.51;69368;11.25;242077;1815000;294.36
1-00438-7502;1207-R1;416 EAST 11 STREET;EAST VILLAGE;R4-CONDOMINIUM;13;2001;15742;581509;36.94;128612;8.17;452897;3333999;211.79
1-00440-7502;1264-R1;407 EAST 12 STREET;EAST VILLAGE;R4-CONDOMINIUM;27;1900;30363;931840;30.69;196449;6.47;735391;5497000;181.04
1-00440-7503;1503-R1;431 EAST 12 STREET;EAST VILLAGE;R2-CONDOMINIUM;13;1900;20099;595332;29.62;197372;9.82;397960;2982998;148.42
1-00441-7501;0292-R1;224 1 AVENUE;EAST VILLAGE;R4-CONDOMINIUM;40;1911;25528;864378;33.86;162869;6.38;701509;5206002;203.93
1-00441-7503;1766-R1;421 EAST 13 STREET;EAST VILLAGE;R4-CONDOMINIUM;96;2006;93382;3733412;39.98;747990;8.01;2985422;22563999;241.63
1-00443-7502;1970-R1;62 EAST 1 STREET;EAST VILLAGE;R4-CONDOMINIUM;11;2007;14982;563173;37.59;155214;10.36;407959;2998999;200.17
1-00444-7501;0271-R1;72 EAST 3 STREET;EAST VILLAGE;R4-CONDOMINIUM;20;1900;17225;611488;35.5;158987;9.23;452501;3344993;194.19
1-00446-7501;0695-R1;125 EAST 4 STREET;EAST VILLAGE;R9-CONDOMINIUM;28;2004;17793;663145;37.27;164941;9.27;498204;3665000;205.98
1-00446-7502;0705-R1;99 EAST 4 STREET;EAST VILLAGE;R9-CONDOMINIUM;66;1920;67764;2552670;37.67;704746;10.4;1847924;13580000;200.4
1-00447-7501;0777-R1;83 1 AVENUE;EAST VILLAGE;R9-CONDOMINIUM;20;1900;11574;435067;37.59;119907;10.36;315160;2317000;200.19
1-00451-7502;1231-R1;240 EAST 10 STREET;EAST VILLAGE;R4-CONDOMINIUM;35;1999;62556;2390890;38.22;446650;7.14;1944240;14712999;235.2
1-00453-7501;2143-R1;311 EAST 11 STREET;EAST VILLAGE;R4-CONDOMINIUM;36;2008;46707;1928065;41.28;373189;7.99;1554876;11740999;251.38
1-00459-7502;2025-R1;52 EAST 4 STREET;EAST VILLAGE;R4-CONDOMINIUM;14;2007;24778;1002270;40.45;329547;13.3;672723;5082998;205.14
1-00462-7501;0901-R1;24 EAST 7 STREET;EAST VILLAGE;R9-CONDOMINIUM;34;1991;36693;1393233;37.97;294645;8.03;1098588;8316000;226.64
1-00463-7501;0224-R1;63 COOPER SQUARE;EAST VILLAGE;R4-CONDOMINIUM;36;1984;24528;1088062;44.36;292864;11.94;795198;5986997;244.09
1-00464-7501;0643-R1;214 EAST 9 STREET;EAST VILLAGE;R4-CONDOMINIUM;14;1900;14650;484183;33.05;123646;8.44;360537;2680000;182.94
1-00464-7502;1402-R1;15 ST MARK'S PLACE;EAST VILLAGE;R4-CONDOMINIUM;10;1910;11995;477761;39.83;138782;11.57;338979;2401000;200.17
1-00464-7503;1959-R1;133 2 AVENUE;EAST VILLAGE;R4-CONDOMINIUM;12;1920;13648;533180;39.07;141803;10.39;391377;2563002;187.79
1-00465-7501;1972-R1;38 STUYVESANT STREET;EAST VILLAGE;R2-CONDOMINIUM;12;1900;14269;483862;33.91;138409;9.7;345453;2563001;179.62
1-00466-7501;1804-R1;47 3 AVENUE;EAST VILLAGE;R9-CONDOMINIUM;28;2006;30662;1398494;45.61;239164;7.8;1159330;8720000;284.39
1-00469-7501;0390-R1;105 3 AVENUE;EAST VILLAGE;R4-CONDOMINIUM;16;1920;12192;410383;33.66;117653;9.65;292730;2173000;178.23
1-00469-7502;0493-R1;105 3 AVENUE;EAST VILLAGE;R9-CONDOMINIUM;155;1964;113930;4223378;37.07;1336399;11.73;2886979;21284000;186.82
1-00470-7501;0564-R1;122 ELIZABETH STREET;LITTLE ITALY;R4-CONDOMINIUM;28;1988;21442;634469;29.59;228357;10.65;406112;3045001;142.01
1-00472-7501;0586-R1;240 CENTRE STREET;LITTLE ITALY;R9-CONDOMINIUM;55;1905;104637;2791715;26.68;1171934;11.2;1619781;10483000;100.18
1-00473-7501;0920-R1;476 BROADWAY;SOHO;R4-CONDOMINIUM;7;1904;50547;1558364;30.83;500415;9.9;1057949;7910000;156.49
1-00473-7502;1179-R1;30 CROSBY STREET;SOHO;R4-CONDOMINIUM;13;1890;78982;2107240;26.68;841158;10.65;1266082;8723001;110.44
1-00473-7503;1663-R1;425 BROOME STREET;SOHO;R4-CONDOMINIUM;18;1874;27023;747186;27.65;278067;10.29;469119;3004090;111.17
1-00474-7501;0316-R1;51 MERCER STREET;SOHO;R2-CONDOMINIUM;1;1941;1158;50327;43.46;10156;8.77;40171;303000;261.66
1-00474-7504;1185-R1;473 BROADWAY;SOHO;R4-CONDOMINIUM;13;1894;35452;945859;26.68;327931;9.25;617928;4467999;126.03
1-00474-7505;1205-R1;475 BROADWAY;SOHO;R4-CONDOMINIUM;14;1920;36407;971339;26.68;336765;9.25;634574;4588002;126.02
1-00474-7506;1654-R1;40 MERCER STREET;SOHO;R4-CONDOMINIUM;41;2005;117311;4833213;41.2;1503927;12.82;3329286;24750019;210.98
1-00475-7503;0916-R1;477 BROOME STREET;SOHO;R9-CONDOMINIUM;20;1920;32149;864808;26.9;305094;9.49;559714;4045000;125.82
1-00475-7505;1010-R1;42 WOOSTER STREET;SOHO;R4-CONDOMINIUM;14;1900;55210;1485149;26.9;607310;11;877839;6344002;114.91
1-00475-7509;1253-R1;43 WOOSTER STREET;SOHO;R4-CONDOMINIUM;10;1900;22500;719325;31.97;228375;10.15;490950;3671000;163.16
1-00478-7501;0789-R1;354 BROOME STREET;LITTLE ITALY;R4-CONDOMINIUM;37;1900;56714;1513130;26.68;606840;10.7;906290;6552998;115.54
1-00481-7502;1363-R1;225 LAFAYETTE STREET;LITTLE ITALY;R4-CONDOMINIUM;41;1926;83916;3052864;36.38;1022936;12.19;2029928;14962999;178.31
1-00482-7502;1484-R1;210 LAFAYETTE STREET;SOHO;R4-CONDOMINIUM;52;2005;73057;2998259;41.04;949741;13;2048518;15471003;211.77
1-00483-7502;1152-R1;56 CROSBY STREET;SOHO;R4-CONDOMINIUM;9;1900;35700;1248429;34.97;425187;11.91;823242;6101000;170.9
1-00485-7501;0686-R1;73 MERCER STREET;SOHO;R4-CONDOMINIUM;10;1900;20525;552123;26.9;194782;9.49;357341;2588000;126.09
1-00487-7501;1360-R1;73 WOOSTER STREET;SOHO;R4-CONDOMINIUM;6;1929;42091;1131406;26.88;463001;11;668405;4839999;114.99
1-00488-7501;1105-R1;52 THOMPSON STREET;SOHO;R4-CONDOMINIUM;2;1900;9196;325354;35.38;109524;11.91;215830;1599000;173.88
1-00488-7502;1267-R1;388 WEST BROADWAY;SOHO;R4-CONDOMINIUM;4;1920;12506;442462;35.38;113429;9.07;329033;2243996;179.43
1-00491-7503;2162-R1;246 SPRING STREET;SOHO;R4-CONDOMINIUM;391;2007;343599;15898326;46.27;2576993;7.5;13321333;108989818;317.2
1-00492-7501;0174-R1;14 PRINCE STREET;LITTLE ITALY;R4-CONDOMINIUM;44;1915;39087;1205052;30.83;450673;11.53;754379;5637002;144.22
1-00492-7502;0382-R1;2 PRINCE STREET;LITTLE ITALY;R4-CONDOMINIUM;10;1900;11563;356487;30.83;107073;9.26;249414;1864000;161.2
1-00492-7503;0665-R1;200 BOWERY;LITTLE ITALY;R4-CONDOMINIUM;35;1988;24582;815877;33.19;231808;9.43;584069;3905011;158.86
1-00493-7501;2021-R1;211 ELIZABETH STREET;LITTLE ITALY;R4-CONDOMINIUM;15;2007;28258;1141623;40.4;384309;13.6;757314;5722001;202.49
1-00494-7502;0596-R1;45 SPRING STREET;LITTLE ITALY;R9-CONDOMINIUM;25;1900;12142;323949;26.68;112314;9.25;211635;1530000;126.01
1-00497-7501;0381-R1;83 SPRING STREET;SOHO;R4-CONDOMINIUM;2;1900;3518;100298;28.51;44432;12.63;55866;420000;119.39
1-00498-7501;0131-R1;90 PRINCE STREET;SOHO;R4-CONDOMINIUM;14;1900;18031;514244;28.52;170934;9.48;343310;2578997;143.03
1-00499-7501;0294-R1;127 MERCER STREET;SOHO;R4-CONDOMINIUM;10;1881;19827;533346;26.9;188158;9.49;345188;2497999;125.99
1-00499-7502;0685-R1;114 GREENE STREET;SOHO;R4-CONDOMINIUM;19;1988;34876;937467;26.88;419907;12.04;517560;3740001;107.24
1-00499-7505;1658-R1;92 GREENE STREET;SOHO;R4-CONDOMINIUM;14;2005;42823;1764308;41.2;383694;8.96;1380614;9944006;232.21
1-00500-7501;0123-R1;116 WOOSTER STREET;SOHO;R4-CONDOMINIUM;15;1907;20752;557814;26.88;249854;12.04;307960;2225002;107.22
1-00500-7502;0284-R1;93 GREENE STREET;SOHO;R4-CONDOMINIUM;29;1900;36223;973674;26.88;436125;12.04;537549;3884994;107.25
1-00500-7505;1241-R1;103 GREENE STREET;SOHO;R4-CONDOMINIUM;12;1879;34968;1237168;35.38;317160;9.07;920008;6802000;194.52
1-00500-7506;1439-R1;107 GREENE STREET;SOHO;R4-CONDOMINIUM;5;1879;31369;1109835;35.38;284517;9.07;825318;6102000;194.52
1-00501-7501;1199-R1;105 WOOSTER STREET;SOHO;R4-CONDOMINIUM;15;1920;31967;944625;29.55;355473;11.12;589152;4416999;138.17
1-00502-7501;0135-R1;426 WEST BROADWAY;SOHO;R4-CONDOMINIUM;35;1900;34821;936685;26.9;355174;10.2;581511;4202001;120.67
1-00507-7501;0535-R1;11 PRINCE STREET;LITTLE ITALY;R4-CONDOMINIUM;22;1900;22511;611624;27.17;247621;11;364003;2627001;116.7
1-00508-7501;0527-R1;259 ELIZABETH STREET;LITTLE ITALY;R4-CONDOMINIUM;26;1987;17117;515735;30.13;154053;9;361682;2708002;158.21
1-00508-7502;0864-R1;262 MOTT STREET;LITTLE ITALY;R4-CONDOMINIUM;5;1955;6635;162358;24.47;68341;10.3;94017;685000;103.24
1-00510-7501;1065-R1;285 LAFAYETTE STREET;LITTLE ITALY;R4-CONDOMINIUM;29;1900;97941;3182103;32.49;1166477;11.91;2015626;14282965;145.83
1-00512-7501;0075-R1;583 BROADWAY;SOHO;R4-CONDOMINIUM;21;1900;107781;3181695;29.52;1150023;10.67;2031672;14499635;134.53
1-00512-7503;0603-R1;597 BROADWAY;SOHO;R4-CONDOMINIUM;9;1900;15295;430554;28.15;168245;11;262309;1893001;123.77
1-00513-7503;1390-R1;19 WEST HOUSTON STREET;SOHO;R4-CONDOMINIUM;32;2003;56800;2591784;45.63;966736;17.02;1625048;12223001;215.19
1-00514-7505;1404-R1;160 WOOSTER STREET;SOHO;R4-CONDOMINIUM;15;2003;41314;1461689;35.38;454454;11;1007235;7447000;180.25
1-00515-7501;1633-R1;139 WOOSTER STREET;SOHO;R4-CONDOMINIUM;16;2006;38591;1589949;41.2;463092;12;1126857;8510003;220.52
1-00515-7502;1941-R1;149 WOOSTER STREET;SOHO;R4-CONDOMINIUM;11;1915;37403;1105259;29.55;342986;9.17;762273;5715003;152.8
1-00517-7501;0736-R1;131 THOMPSON STREET;SOHO;R9-CONDOMINIUM;38;1950;20826;551889;26.5;166400;7.99;385489;2788000;133.87
1-00518-7502;0670-R1;199 PRINCE STREET;SOHO;R2-CONDOMINIUM;27;1900;13020;396199;30.43;133455;10.25;262744;1964998;150.92
1-00518-7504;1093-R1;195 PRINCE STREET;SOHO;R2-CONDOMINIUM;15;1920;6013;155196;25.81;63978;10.64;91218;660997;109.93
1-00520-7501;0066-R1;27 KING STREET;SOHO;R4-CONDOMINIUM;38;1900;33383;980793;29.38;371219;11.12;609574;4092003;122.58
1-00521-7501;0630-R1;306 MOTT STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;18;1988;9514;362008;38.05;117878;12.39;244130;1693997;178.05
1-00521-7502;1149-R1;298 ELIZABETH STREET;GREENWICH VILLAGE-CENTRAL;R2-CONDOMINIUM;4;1926;6188;162744;26.3;56558;9.14;106186;770001;124.43
1-00521-7503;1383-R1;304 BOWERY;GREENWICH VILLAGE-CENTRAL;R2-CONDOMINIUM;1;1910;7157;178066;24.88;78727;11;99339;722999;101.02
1-00522-7501;0348-R1;54 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;11;1910;31039;843330;27.17;325910;10.5;517420;3734001;120.3
1-00525-7501;0150-R1;156 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;190;1910;132000;3498000;26.5;1452000;11;2046000;14798000;112.11
1-00525-7502;0212-R1;496 LA GUARDIA PLACE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;11;1910;6670;172553;25.87;66700;10;105853;766999;114.99
1-00525-7503;0646-R1;177 THOMPSON STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;54;1958;23688;612809;25.87;236880;10;375929;2723000;114.95
1-00525-7506;1685-R1;184 THOMPSON STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;144;1910;85234;2635435;30.92;937574;11;1697861;12685002;148.83
1-00528-7501;0426-R1;63 DOWNING STREET;GREENWICH VILLAGE-WEST;R4-CONDOMINIUM;32;1986;35225;1114519;31.64;376908;10.7;737611;5502998;156.22
1-00528-7502;0495-R1;3 BEDFORD STREET;GREENWICH VILLAGE-WEST;R4-CONDOMINIUM;12;1986;15990;505924;31.64;171093;10.7;334831;2452998;153.41
1-00529-7502;0494-R1;7 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;20;1904;24630;742102;30.13;273886;11.12;468216;3505997;142.35
1-00529-7503;0581-R1;17 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1900;14608;428453;29.33;163610;11.2;264843;1892002;129.52
1-00529-7504;0631-R1;1 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;21;1900;41990;1140868;27.17;440895;10.5;699973;5051001;120.29
1-00529-7507;1319-R1;57 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;2002;24910;916439;36.79;282978;11.36;633461;4675001;187.68
1-00530-7502;0999-R1;27 GREAT JONES STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1900;18572;480643;25.88;198720;10.7;281923;2044001;110.06
1-00530-7503;1200-R1;47 GREAT JONES STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;1;1910;2527;55240;21.86;22162;8.77;33078;243000;96.16
1-00530-7505;1721-R1;40 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;26;2006;85000;3461200;40.72;1089700;12.82;2371500;17914001;210.75
1-00531-7501;0070-R1;692 BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;56;1912;92500;3403075;36.79;1174750;12.7;2228325;16410007;177.41
1-00535-7501;0295-R1;14 WEST 4 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;273;1908;290492;9220216;31.74;3250605;11.19;5969611;44526000;153.28
1-00537-7502;0302-R1;5420 WEST BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1928;18064;498024;27.57;195091;10.8;302933;2123004;117.53
1-00540-7501;0567-R1;173 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;18;1900;15744;428394;27.21;181213;11.51;247181;1783000;113.25
1-00542-7501;0484-R1;205 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;24;1928;17842;485481;27.21;205361;11.51;280120;2021000;113.27
1-00542-7502;0644-R1;189 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;40;1900;22777;658483;28.91;261936;11.5;396547;2871000;126.05
1-00544-7501;2004-R1;56 COOPER SQUARE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;25;1920;88353;3299985;37.35;1054051;11.93;2245934;16517000;186.94
1-00544-7502;1496-R1;443 LAFAYETTE STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;39;2004;116535;4944580;42.43;1514955;13;3429625;25876000;222.04
1-00545-7502;0992-R1;704 BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1895;46022;1197953;26.03;438129;9.52;759824;5508001;119.68
1-00545-7503;1341-R1;21 ASTOR PLACE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;50;1930;96566;2916293;30.2;1110509;11.5;1805784;12319993;127.58
1-00548-7501;0797-R1;60 EAST 8 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;390;1965;445151;15188552;34.12;5212718;11.71;9975834;73939000;166.1
